SrcPort,DstPort,Protocol,TCPFlags,ICMP,Octets,Packets
0,0,56,0,0,38940,1947
0,0,1,0,770,288,6
0,0,56,0,0,38360,1918
0,0,1,0,770,48,1
0,0,56,0,0,34360,1718
0,0,1,0,770,144,3
0,0,56,0,0,34400,1720
0,0,1,0,770,144,3
0,0,56,0,0,38420,1921
0,0,1,0,770,240,5
0,0,56,0,0,38680,1934
0,0,1,0,770,144,3
0,0,56,0,0,38380,1919
0,0,1,0,770,240,5
0,0,56,0,0,38400,1920
0,0,1,0,770,240,5
0,0,56,0,0,38480,1924
0,0,1,0,770,96,2
0,0,56,0,0,38280,1914
0,0,1,0,770,192,4
0,0,56,0,0,38320,1916
0,0,1,0,770,288,6
0,0,56,0,0,38340,1917
0,0,1,0,770,144,3
0,0,56,0,0,38460,1923
0,0,1,0,770,192,4
0,0,56,0,0,38600,1930
0,0,1,0,770,96,2
0,0,56,0,0,38420,1921
0,0,1,0,770,192,4
0,0,56,0,0,38280,1914
0,0,1,0,770,96,2
0,0,56,0,0,38480,1924
0,0,1,0,770,192,4
0,0,56,0,0,38360,1918
0,0,1,0,770,240,5
0,0,56,0,0,38520,1926
0,0,1,0,770,192,4
0,0,56,0,0,38300,1915
0,0,1,0,770,432,9
0,0,56,0,0,38380,1919
0,0,1,0,770,240,5
0,0,56,0,0,38560,1928
0,0,1,0,770,240,5
0,0,56,0,0,34220,1711
0,0,1,0,770,240,5
0,0,56,0,0,34360,1718
0,0,1,0,770,240,5
0,0,56,0,0,38220,1911
0,0,1,0,770,144,3
0,0,56,0,0,38560,1928
0,0,1,0,770,240,5
0,0,56,0,0,38600,1930
0,0,1,0,770,192,4
0,0,56,0,0,38460,1923
0,0,1,0,770,240,5
0,0,56,0,0,38380,1919
0,0,56,0,0,38600,1930
